School District Name,Incident Years,Website,Address,Address : Street 1,Address : Street 2,Address : City,Address : State,Address : Zip,Address : Latitude,Address : Longitude,State,Count,Locale Code,Community Type,NCES District ID,Total Students,Enrollment Size,Total Schools,Total Staff (FTE),Percent in Poverty,Poverty Status,Region,District Type
Niskayuna Central School District,2017,https://www.niskayunaschools.org/,1239 Van Antwerp Road NY 12309,1239 Van Antwerp Road,,,NY,12309,42.80874,-73.89506,NY,1,Suburb - Large (21),B - Suburban,3620880,"4,133","C - 2,500 - 9,999",8,686.65,6.18%,A - Less than 10 percent,A - Northeast,Regular LEA
Norfolk Public Schools,2018,https://www.npsk12.com/,"800 East City Hall Avenue Norfolk, VA 23510",800 East City Hall Avenue,,Norfolk,VA,23510,36.8481201,-76.2912381,VA,2,City - Midsize (12),A - City,5102670,"32,148","E - 25,000 - 99,999",52,"4,753.58",30.88%,D - 30 percent or more,B - Southeast,Regular LEA
North Beach School District,2018,https://www.northbeachschools.org/,"336 State Route 115 Ocean Shores, WA 98569",336 State Route 115,,Ocean Shores,WA,98569,47.0355964,-124.1579021,WA,1,Rural - Fringe (41),D - Rural,5305700,672,"A - Less than 1,000",4,67.05,15.47%,B - 10 to 19.99 percent,D - West,Regular LEA
North Clackamas Schools,2020,https://www.nclack.k12.or.us/,"12400 SE Freeman Way Milwaukie, OR 97222",12400 SE Freeman Way,,Milwaukie,OR,97222,45.43341,-122.61609,OR,1,Suburb - Large (21),B - Suburban,4108830,"17,262","D - 10,000 - 24,999",31,"1,779.54",8.30%,A - Less than 10 percent,D - West,Regular LEA
North Colonie Central School District,2018,https://www.northcolonie.org/,"91 Fiddlers Lane Latham, NY 12110",91 Fiddlers Lane,,Latham,NY,12110,42.72856,-73.74558,NY,1,Suburb - Large (21),B - Suburban,3621000,"5,562","C - 2,500 - 9,999",8,971.9,7.59%,A - Less than 10 percent,A - Northeast,Regular LEA
North Dakota Department of Public Instruction,2018,https://www.nd.gov/dpi,"600 East Boulevard Avenue Bismarck, ND 58505",600 East Boulevard Avenue,,Bismarck,ND,58505,46.8168749,-100.7826567,ND,1,,E - N/A,,,G - N/A,,,,E - N/A,C - Central,SEA
North East Independent School District,"2016, 2020",https://www.neisd.net/,"8961 Tesoro Drive San Antonio, TX 78217",8961 Tesoro Drive,,San Antonio,TX,78217,29.52139,-98.45668,TX,2,City - Large (11),A - City,4832940,"67,779","E - 25,000 - 99,999",75,"8,598.81",14.28%,B - 10 to 19.99 percent,D - West,Regular LEA
North Lamar Independent School District,2019,http://www.northlamar.net/,"3130 North Main Paris, TX 75460",3130 North Main,,Paris,TX,75460,33.69475,-95.55334,TX,1,Rural - Fringe (41),D - Rural,4833010,"2,701","C - 2,500 - 9,999",6,486.07,15.32%,B - 10 to 19.99 percent,D - West,Regular LEA
North Syracuse Central School District,2019,https://www.nscsd.org/,"5355 West Taft Road North Syracuse, NY 13212",5355 West Taft Road,,North Syracuse,NY,13212,43.12313,-76.14381,NY,1,Suburb - Large (21),B - Suburban,3621210,"8,989","C - 2,500 - 9,999",11,"1,200.30",10.66%,B - 10 to 19.99 percent,A - Northeast,Regular LEA
Northeastern School District,2020,https://www.nesd.k12.pa.us/nesd,"41 Harding Street Manchester, PA 17345",41 Harding Street,,Manchester,PA,17345,40.05941,-76.72512,PA,1,Suburb - Midsize (22),B - Suburban,4217520,"3,881","C - 2,500 - 9,999",8,,10.88%,B - 10 to 19.99 percent,A - Northeast,Regular LEA
Northern Lehigh School District,2019,http://www.nlsd.org/,"1201 Shadow Oaks Ln Slatington, PA 18080",1201 Shadow Oaks Ln,,Slatington,PA,18080,40.76493,-75.61551,PA,1,Suburb - Large (21),B - Suburban,4217670,"1,569","B - 1,000 - 2,499",4,226,12.46%,B - 10 to 19.99 percent,A - Northeast,Regular LEA
Northern Suburban Special Education District ,2019,https://www.nssed.org/Page/1,"760 Red Oak Lane Highland Park, IL 60035",760 Red Oak Lane,,Highland Park,IL,60035,42.16687,-87.81934,IL,1,Suburb - Large (21),B - Suburban,1700031,,G - N/A,5,370.56,,E - N/A,C - Central,Special LEA
Northshore School District,"2016, 2019",https://www1.nsd.org/,"3330 Monte Villa Parkway Bothell, WA 98021",3330 Monte Villa Parkway,,Bothell,WA,98021,47.77695,-122.18987,WA,2,Suburb - Large (21),B - Suburban,5305910,"21,481","D - 10,000 - 24,999",36,"1,680.98",4.18%,A - Less than 10 percent,D - West,Regular LEA
Northside Independent School District,"2017, 2020",https://nisd.net/,"5900 Evers Rd San Antonio, TX 78238",5900 Evers Rd,,San Antonio,TX,78238,29.49061,-98.60163,TX,2,City - Large (11),A - City,4833120,"105,110","F - 100,000 or more",119,"13,401.73",15.05%,B - 10 to 19.99 percent,D - West,Regular LEA
Northwestern Consolidated School District of Shelby County,2019,https://www.nwshelbyschools.org/,"4920 W. 600 N Fairland, IN 46126",4920 W. 600 N,,Fairland,IN,46126,39.61068,-85.87427,IN,1,Rural - Fringe (41),D - Rural,1808310,"1,332","B - 1,000 - 2,499",3,141.5,13.17%,B - 10 to 19.99 percent,C - Central,Regular LEA
Norwalk Public Schools,2019,https://www.norwalkps.org/,"125 East Avenue Norwalk, CT  06852",125 East Avenue,,Norwalk,CT,6852,41.11275,-73.40655,CT,2,City - Small (13),A - City,903090,"11,412","D - 10,000 - 24,999",20,"1,361.23",19.74%,B - 10 to 19.99 percent,A - Northeast,Regular LEA
NYC Geog District #29 – Queens,2018,N/A,"222-14 Jamaica Ave Queens Village, NY 11428",222-14 Jamaica Ave,,Queens Village,NY,11428,40.7206696,-73.7317502,NY,1,City - Large (11),A - City,3600101,"27,809","E - 25,000 - 99,999",46,"1,951.53",26.38%,C - 20 to 29.99 percent,A - Northeast,Regular LEA
Oak Grove School District 68,2019,https://www.ogschool.org/,"1700 O'Plaine Rd Green Oaks, IL 60048",1700 O'Plaine Rd,,Green Oaks,IL,60048,42.30241,-87.91326,IL,1,Suburb - Large (21),B - Suburban,1729130,890,"A - Less than 1,000",1,110.5,1.72%,A - Less than 10 percent,C - Central,Regular LEA
Oakland Unified School District,2020,https://www.ousd.org/,"1000 Broadway Oakland, CA 94607",1000 Broadway,,Oakland,CA,94607,37.80161,-122.27209,CA,1,City - Large (11),A - City,628050,"36,524","E - 25,000 - 99,999",91,"4,274.24",17.59%,B - 10 to 19.99 percent,D - West,Regular LEA
Ocean Beach School District,2020,https://www.ocean.k12.wa.us/,"500 Washington Ave. South Long Beach, WA 98631",500 Washington Ave. South,,Long Beach,WA,98631,46.34873,-124.05231,WA,1,Rural - Distant (42),D - Rural,5306060,"1,078","B - 1,000 - 2,499",6,97.5,18.58%,B - 10 to 19.99 percent,D - West,Regular LEA
Oceanside Union Free School District,2018,http://www.oceansideschools.org/,"145 Merle Avenue Oceanside, NY 11572",145 Merle Avenue,,Oceanside,NY,11572,40.64319,-73.6354,NY,1,Suburb - Large (21),B - Suburban,3621570,"5,585","C - 2,500 - 9,999",10,915.06,4.53%,A - Less than 10 percent,A - Northeast,Regular LEA
OCM BOCES,2018,http://www.ocmboces.org/,"6820 Thompson Road Syracuse, NY 13211",6820 Thompson Road,,Syracuse,NY,13211,43.10173,-76.09503,NY,1,,E - N/A,3680580,,G - N/A,,,,E - N/A,A - Northeast,Special LEA
Odessa R-VIII School District,2017,http://www.odessar7.net/,"701 S. Third Street Odessa, MO 64076",701 S. Third Street,,Odessa,MO,64076,38.98938,-93.95634,MO,1,Town - Fringe (31),C - Town,2923100,"2,038","B - 1,000 - 2,499",4,252.5,14.63%,B - 10 to 19.99 percent,C - Central,Regular LEA
Oglethorpe County School System,,https://oglethorpe.k12.ga.us/,"735 Athens Road Lexington, GA 30648",735 Athens Road,,Lexington,GA,30648,33.88376,-83.12831,GA,1,Rural - Distant (42),D - Rural,1303990,"2,102","B - 1,000 - 2,499",4,354.3,10.43%,B - 10 to 19.99 percent,B - Southeast,Regular LEA
Oklahoma City Public Schools,"2018, 2019",https://www.okcps.org/Page/1,"3100 North Kelley Avenue Oklahoma City, OK 73111",3100 North Kelley Avenue,,Oklahoma City,OK,73111,35.5005604,-97.4942451,OK,2,City - Large (11),A - City,4022770,"40,823","E - 25,000 - 99,999",78,"4,423.66",31.58%,D - 30 percent or more,D - West,Regular LEA
Oklahoma State Board of Education,2020,https://sde.ok.gov/state-board-education," 2500 N Lincoln Blvd  Oklahoma City, OK 73105", 2500 N Lincoln Blvd ,,Oklahoma City,OK,73105,35.49543,-97.50121,OK,1,,E - N/A,,,G - N/A,,,,E - N/A,D - West,Other
Oklahoma State Department of Education,2020,https://sde.ok.gov/,"2500 North Lincoln Boulevard Oklahoma City, OK 73105",2500 North Lincoln Boulevard,,Oklahoma City,OK,73105,35.49543,-97.50121,OK,1,,E - N/A,,,G - N/A,,,,E - N/A,D - West,SEA
Olympia School District,2016,https://osd.wednet.edu/,"1113 Legion Way Southeast Olympia, WA 98501",1113 Legion Way Southeast,,Olympia,WA,98501,47.04356,-122.88686,WA,1,City - Small (13),A - City,5306180,"9,986","C - 2,500 - 9,999",21,839.7,9.52%,A - Less than 10 percent,D - West,Regular LEA
Oneida City School District,2019,https://www.oneidacsd.org/,"565 Sayles Street Oneida, NY 13421",565 Sayles Street,,Oneida,NY,13421,43.08069,-75.66234,NY,1,Town - Distant (32),C - Town,3600013,"2,139","B - 1,000 - 2,499",6,327.86,23.19%,C - 20 to 29.99 percent,A - Northeast,Regular LEA
Onondaga Central School District,2019,http://www.ocs.cnyric.org/,"4466 South Onondaga Road Nedrow, NY 13120",4466 South Onondaga Road,,Nedrow,NY,13120,42.92963,-76.20572,NY,1,Rural - Fringe (41),D - Rural,3621810,902,"A - Less than 1,000",3,182.09,14.14%,B - 10 to 19.99 percent,A - Northeast,Regular LEA
Orange County Public Schools,2020,https://www.ocps.net/,"445 W. Amelia St. Orlando, FL 32801",445 W. Amelia St.,,Orlando,FL,32801,28.55016,-81.38425,FL,1,Suburb - Large (21),B - Suburban,1201440,"208,203","F - 100,000 or more",258,"24,761.00",21.52%,C - 20 to 29.99 percent,B - Southeast,Regular LEA
Orange County School District,2020,https://www.orangecountyfirst.com/,"200 E. King Street Hillsborough, NC 27278",200 E. King Street,,Hillsborough,NC,27278,36.07533,-79.0958,NC,1,Suburb - Large (21),B - Suburban,3703480,"7,429","C - 2,500 - 9,999",13,"1,032.20",11.57%,B - 10 to 19.99 percent,B - Southeast,Regular LEA
Orchard View Schools,2019,http://www.orchardview.org,"35 South Sheridan Muskegon, MI 49442",35 South Sheridan,,Muskegon,MI,49442,43.25057,-86.1864,MI,1,Rural - Fringe (41),D - Rural,2626760,"2,621","C - 2,500 - 9,999",5,285.45,19.61%,B - 10 to 19.99 percent,C - Central,Regular LEA
Ore City Independent School District,2017,https://www.ocisd.net/,"100 Rebel Rd Ore City, TX 75683",100 Rebel Rd,,Ore City,TX,75683,32.8054938,-94.7187034,TX,1,Rural - Distant (42),D - Rural,4833840,879,"A - Less than 1,000",3,146.4,17.90%,B - 10 to 19.99 percent,D - West,Regular LEA
Oskaloosa Community School District,2020,https://www.oskycsd.org/,"1800 North 3rd St Oskaloosa, IA 52577",1800 North 3rd St,,Oskaloosa,IA,52577,41.30854,-92.63907,IA,1,Rural - Fringe (41),D - Rural,1921870,"2,238","B - 1,000 - 2,499",4,,14.29%,B - 10 to 19.99 percent,C - Central,Regular LEA
Oxford School District,2017,https://www.oxfordsd.org/,"224 Bramlett Boulevard Oxford, MS 38655",224 Bramlett Boulevard,,Oxford,MS,38655,34.36914,-89.50791,MS,1,Town - Remote (33),C - Town,2803450,"4,250","C - 2,500 - 9,999",7,540.2,19.89%,B - 10 to 19.99 percent,B - Southeast,Regular LEA
Palo Alto Unifed School District,"2017, 2018",https://www.pausd.org/,"25 Churchill Avenue Palo Alto, CA 94306",25 Churchill Avenue,,Palo Alto,CA,94306,37.43365,-122.15371,CA,3,City - Small (13),A - City,629610,"12,485","D - 10,000 - 24,999",19,"1,400.79",5.19%,A - Less than 10 percent,D - West,Regular LEA
Panama-Buena Vista Union School District,2020,https://www.pbvusd.k12.ca.us/,"4200 Ashe Rd. Bakersfield, CA 93313",4200 Ashe Rd.,,Bakersfield,CA,93313,35.31737,-119.07314,CA,1,City - Large (11),A - City,606390,"18,250","D - 10,000 - 24,999",24,"1,899.32",19.49%,B - 10 to 19.99 percent,D - West,Regular LEA
Papillion La Vista Community Schools,2019,https://www.plcschools.org/,"420 S. Washington Street Papillion, NE 68046",420 S. Washington Street,,Papillion,NE,68046,41.15329,-96.04314,NE,1,Suburb - Large (21),B - Suburban,3175270,"11,744","D - 10,000 - 24,999",22,"1,504.36",4.36%,A - Less than 10 percent,C - Central,Regular LEA
Paradise Independent School District,2017,http://www.pisd.net/,"338 School House Road Paradise, TX 76073",338 School House Road,,Paradise,TX,76073,33.14471,-97.69406,TX,1,Rural - Distant (42),D - Rural,4834260,"1,138","B - 1,000 - 2,499",4,148.23,19.79%,B - 10 to 19.99 percent,D - West,Regular LEA
Paradise Valley Unified School District,2020,https://www.pvschools.net/,"15002 N. 32nd St. Phoenix, AZ 85032",15002 N. 32nd St.,,Phoenix,AZ,85032,33.62274,-112.01348,AZ,1,City - Large (11),A - City,405930,"31,105","E - 25,000 - 99,999",44,"3,328.44",11.57%,B - 10 to 19.99 percent,D - West,Regular LEA
Park Rapids Area Schools,2019,https://www.parkrapids.k12.mn.us/,"301 Huntsinger Ave Park Rapids, MN 56470",301 Huntsinger Ave,,Park Rapids,MN,56470,46.92459,-95.06385,MN,1,Rural - Fringe (41),D - Rural,2728080,"1,653","B - 1,000 - 2,499",6,206.87,16.91%,B - 10 to 19.99 percent,C - Central,Regular LEA
Park Ridge-Niles School District 64,2020,https://www.d64.org/,"164 South Prospect Avenue Park Ridge, IL 60068",164 South Prospect Avenue,,Park Ridge,IL,60068,42.00852,-87.83243,IL,1,Suburb - Large (21),B - Suburban,1730840,"4,671","C - 2,500 - 9,999",8,756.81,4.88%,A - Less than 10 percent,C - Central,Regular LEA
Pascack Valley Regional High School District,2017,https://www.pascack.org/home,"28 West Grand Avenue Montvale, NJ 07645",28 West Grand Avenue,,Montvale,NJ,7645,41.03932,-74.0323,NJ,1,Suburb - Large (21),B - Suburban,3412510,"2,116","B - 1,000 - 2,499",3,366.67,2.69%,A - Less than 10 percent,A - Northeast,Regular LEA
Pasco County Schools,2020,http://www.pasco.k12.fl.us/,"7227 Land O' Lakes Blvd. Land O' Lakes, FL 34638",7227 Land O' Lakes Blvd.,,Land O' Lakes,FL,34638,28.26267,-82.47658,FL,1,Suburb - Large (21),B - Suburban,1201530,"75,048","E - 25,000 - 99,999",102,"10,875.52",14.92%,B - 10 to 19.99 percent,B - Southeast,Regular LEA
Paterson Public Schools,"2019, 2020",http://www.paterson.k12.nj.us/,"90 Delaware Ave Paterson, NJ 07503",90 Delaware Ave,,Paterson,NJ,7503,40.89359,-74.15354,NJ,2,Suburb - Large (21),B - Suburban,3412690,"28,899","E - 25,000 - 99,999",51,,36.31%,D - 30 percent or more,A - Northeast,Regular LEA
Pearland Independent School District,2016,https://www.pearlandisd.org/,"1928 N. Main St Pearland, TX 77581",1928 N. Main St,,Pearland,TX,77581,29.57264,-95.28753,TX,1,Suburb - Large (21),B - Suburban,4834440,"21,093","D - 10,000 - 24,999",24,"2,494.87",7.34%,A - Less than 10 percent,D - West,Regular LEA
Pekin Community High School District 303,2017,http://www.pekinhigh.net/,"320 Stadium Drive Pekin, IL 61554",320 Stadium Drive,,Pekin,IL,61554,40.56572,-89.6193,IL,1,Suburb - Large (21),B - Suburban,1731110,"2,028","B - 1,000 - 2,499",1,372.2,13.54%,B - 10 to 19.99 percent,C - Central,Regular LEA
Pendleton School District,2020,https://pendleton.k12.or.us/,"107 NW 10th St Pendleton, OR 97801",107 NW 10th St,,Pendleton,OR,97801,45.67261,-118.79751,OR,1,Town - Distant (32),C - Town,4109510,"3,140","C - 2,500 - 9,999",8,331.96,18.56%,B - 10 to 19.99 percent,D - West,Regular LEA
Peninsula School District,2020,https://www.psd401.net/,"14015 62nd AVE NW Gig Harbor, WA 98332",14015 62nd AVE NW,,Gig Harbor,WA,98332,47.38654,-122.6201,WA,1,Suburb - Large (21),B - Suburban,5306690,"9,402","C - 2,500 - 9,999",15,,4.25%,A - Less than 10 percent,D - West,Regular LEA
Penn-Harris-Madison School Corporation,2019,https://www.phmschools.org/,"55900 Bittersweet Rd Mishawaka, IN 46545",55900 Bittersweet Rd,,Mishawaka,IN,46545,41.68171,-86.10785,IN,1,Suburb - Large (21),B - Suburban,1808760,"11,434","D - 10,000 - 24,999",15,"1,118.52",7.81%,A - Less than 10 percent,C - Central,Regular LEA
Pennsylvania Department of Education,2018,https://www.education.pa.gov/Pages/default.aspx,"333 Market Street Harrisburg, PA 17126",333 Market Street,,Harrisburg,PA,17126,40.26147,-76.87955,PA,1,,E - N/A,,,G - N/A,,,,E - N/A,A - Northeast,SEA
Perry Public Schools,2018,https://www.perryelementary.org/,"100 High Street Eastport, ME 04631",100 High Street,,Eastport,ME,4631,44.90837,-66.99056,ME,1,Rural - Remote (43),D - Rural,2309650,142,"A - Less than 1,000",1,26.8,20.42%,C - 20 to 29.99 percent,A - Northeast,Regular LEA
Pflugerville Independent School District,"2017, 2019",http://www.pflugervilleisd.net/,"1401 West Pecan Street Pflugerville, TX 78660",1401 West Pecan Street,,Pflugerville,TX,78660,30.44643,-97.63653,TX,2,Suburb - Large (21),B - Suburban,4834830,"24,100","D - 10,000 - 24,999",32,"2,995.84",12.49%,B - 10 to 19.99 percent,D - West,Regular LEA
Phoenix Central School District,2019,https://www.phoenixcsd.org/,"116 Volney Street Phoenix, NY 13135",116 Volney Street,,Phoenix,NY,13135,43.23924,-76.29818,NY,1,Suburb - Large (21),B - Suburban,3622920,"1,849","B - 1,000 - 2,499",3,349.24,17.30%,B - 10 to 19.99 percent,A - Northeast,Regular LEA
Phoenix Elementary School District #1,2019,https://phxschools.org/,"1817 North Seventh Street Phoenix, AZ 85006",1817 North Seventh Street,,Phoenix,AZ,85006,33.46879,-112.06394,AZ,1,City - Large (11),A - City,406300,"6,487","C - 2,500 - 9,999",14,928.3,36.02%,D - 30 percent or more,D - West,Regular LEA
Pickens County School District,"2016, 2020",http://www.pickens.k12.sc.us/,"1348 Griffin Mill Road Easley, SC 29640",1348 Griffin Mill Road,,Easley,SC,29640,34.83978,-82.66994,SC,2,Rural - Fringe (41),D - Rural,4503330,"16,230","D - 10,000 - 24,999",24,"1,928.30",15.44%,B - 10 to 19.99 percent,B - Southeast,Regular LEA
Pickens County School District,2020,https://www.pickenscountyschools.net/,"377 Ladow Center Circle Carrollton, AL 35447",377 Ladow Center Circle,,Carrollton,AL,35447,33.2532402,-88.1691635,AL,1,Rural - Distant (42),D - Rural,102730,"2,524","C - 2,500 - 9,999",8,305.64,29.35%,C - 20 to 29.99 percent,B - Southeast,Regular LEA
Pilot Point Independent School District,2017,https://www.pilotpointisd.com/,"829 S. Harrison St Pilot Point, TX 76258",829 S. Harrison St,,Pilot Point,TX,76258,33.38886,-96.95393,TX,1,Town - Fringe (31),C - Town,4834920,"1,394","B - 1,000 - 2,499",4,197.14,11.90%,B - 10 to 19.99 percent,D - West,Regular LEA
Pinelands Regional School District,2018,http://www.pinelandsregional.org/,"520 Nugentown Road Little Egg Harbor Township, NJ 08087",520 Nugentown Road,,Little Egg Harbor Township,NJ,8087,39.61393,-74.35937,NJ,1,Rural - Fringe (41),D - Rural,3413000,"1,524","B - 1,000 - 2,499",2,329.45,17.90%,B - 10 to 19.99 percent,A - Northeast,Regular LEA
Pinellas County Schools,2017,https://www.pcsb.org/,"301 4th Street Southwest Largo, FL 33770",301 4th Street Southwest,,Largo,FL,33770,27.9137484,-82.7922549,FL,1,Suburb - Large (21),B - Suburban,1201560,"103,495","F - 100,000 or more",166,"13,701.68",17.06%,B - 10 to 19.99 percent,B - Southeast,Regular LEA
Pineywoods Community Academy,2017,http://pcacharter.net/,"602 South Raguet Street Lufkin, TX 75904",602 South Raguet Street,,Lufkin,TX,75904,31.33272,-94.73185,TX,1,Town - Remote (33),C - Town,4800074,966,"A - Less than 1,000",3,120.27,,E - N/A,D - West,Charter
Pittsburg Unified School District,2020,https://www.pittsburg.k12.ca.us/,"2000 Railroad Avenue Pittsburg, CA 94565",2000 Railroad Avenue,,Pittsburg,CA,94565,38.02027,-121.88867,CA,1,Suburb - Large (21),B - Suburban,630600,"11,537","D - 10,000 - 24,999",13,975.57,18.56%,C - 20 to 29.99 percent,D - West,Regular LEA
Pittsford Central School District,2019,https://www.pittsfordschools.org/,"75 Barker Road Pittsford, NY 14534",75 Barker Road,,Pittsford,NY,14534,43.05738,-77.52635,NY,1,Suburb - Large (21),B - Suburban,3623160,"5,693","C - 2,500 - 9,999",9,"1,140.25",3.70%,A - Less than 10 percent,A - Northeast,Regular LEA
Placer Union High School District,"2019, 2020",http://www.puhsd.k12.ca.us/,"13000 New Airport Road Auburn, CA 95603",13000 New Airport Road,,Auburn,CA,95603,38.9423602,-121.0791351,CA,2,Suburb - Large (21),B - Suburban,630750,"4,074","C - 2,500 - 9,999",6,370.75,6.75%,A - Less than 10 percent,D - West,Regular LEA
